CODIGO_ACCIDENTE;FORMULARIO;FECHA;GRAVEDAD;CLASE;CHOQUE;LONGITUD;LATITUD;CODIGO_LOCALIDAD;TOTAL_MUERTOS;TOTAL_HERIDOS;TEXTO_OBSERVACIONES;CODIGO_CAUSA;DESCRIPCION
1078;3078;12/31/2023 9:18 PM;HERIDOS;CHOQUE;VEHICULO;-74,16524348;4,641074056;8;;2;CORRIJO CASILLA V1 MISMO CONDUCTOR SI;157;OTRA HIPÓTESIS (CONDUCTOR)
1079;3079;12/31/2023 12:00 PM;HERIDOS;ATROPELLO;;-74,0749791;4,669017366;12;;1;CORRIJO CASILLA N 5 CLASE DE ACCIDENTE ES ATROPELLO;411;OTRA HIPÓTESIS (PEATÓN)
1080;3080;12/31/2023 11:50 AM;HERIDOS;CAIDA;;-74,16815302;4,630921232;8;;1;SE CODIFICA HIPOTESIS 301 PARA LA VIA AUSENCIA DE SEÑAL SP25 Y SP25A;301;AUSENCIA TOTAL O PARCIAL DE SEÑALES
1081;3081;12/31/2023 10:30 AM;HERIDOS;CHOQUE;VEHICULO;-74,11277679;4,724133462;10;;1;EL LESIONADO FUE VALORADO POR AMBULANCIA DEL CRUE NO PERMITE TRASLADO Y FIRMA DESISTIMIENTO Y NO INTERPONE QUERELLA POR TAL MOTIVO NO SE CONOCE EL CASO POR FISCALIA SE REALIZA INFORME POR LA GRAVEDAD DE SUS LESIONES;157;OTRA HIPÓTESIS (CONDUCTOR)
1082;3082;12/31/2023 9:07 AM;DANOS;CHOQUE;OBJETO;-74,08849987;4,658969057;13;;;REQUERIMIENTO IMPULSADO POR CENTRAL DE RADIO AUTOLESSIONES DEL CIUDADANO NO PERMITE VALORACION POR PARTE DE LAS AMBULANCIAS QUE LLEGAN AL LUGAR NI PERSONAL DE SALUD MEDICA ES TRASLADADO A LA SECCIONAL DE TRANSITO A REALIZAR PRUEBA DE ALCOHOLEMIA SE REALIZA COMPARENDO N 39587917 ARROJANDO POSITIVO GR;115;EMBRIAGUEZ O SUSTANCIAS ALUCINOGENAS
1083;3083;12/31/2023 8:10 AM;HERIDOS;CHOQUE;VEHICULO;-74,18253569;4,598473253;7;;1;NO SE DIAGRAMA EL VH1 TIPO AUTOMOVIL YA QUE FUE MOVIDO DEL LUGAR DEL IMPACTO O POSICION FINAL SE CORRIJE CASILLA 7 CARACTERISTICAS DE LA VIA DONDE EXISTE UNA SEÑAL DE PARE SOBRE LA CALLE 65B SUR ;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
1084;3084;12/31/2023 8:05 AM;HERIDOS;CHOQUE;VEHICULO;-74,13544414;4,614145577;8;;3;SE ACLARA QUE EL CONDUCTOR DEL VH2 SE TRASLADA PARA LA CLINICA MEDIAL PROINFO;121;NO MANTENER DISTANCIA DE SEGURIDAD
1085;3085;12/31/2023 7:46 AM;HERIDOS;CHOQUE;VEHICULO;-74,1471037;4,674267724;9;;2;SE REALIZA ORDEN DE COMPARENDO N 39586910 INFRACCION D01 YA QUE NO ES IDONEO PARA CONDUCIR EL BUS YA QUE SU CATEGORIA C1 CORRIJO HORA DE LEVANTAMIENTO SIENDO 1120 HORAS HABIA MANIFESTADO CONCILIAR POR LA LEY 2251;142;SEMAFORO EN ROJO
1086;3086;12/31/2023 7:30 AM;HERIDOS;CAIDA;;-74,16833473;4,631263894;8;;2;NO SE DIAGRAMAN LOS VEHICULOS YA QUE FUERON MOVIDOS DE SU POSICION FINAL;301;AUSENCIA TOTAL O PARCIAL DE SEÑALES
1087;3087;31/12/2023;HERIDOS;ATROPELLO;;-74,09315798;4,602905766;14;;1;SE CONOCE EL CASO A ESA HORA POR RECONOCIMIENTO HOSPITAL TUNAL ;157;OTRA HIPÓTESIS (CONDUCTOR)
1088;3088;12/30/2023 9:29 PM;HERIDOS;CHOQUE;VEHICULO;-74,06410543;4,748843129;11;;1;SE CORRIGE CASILLA 8 DATOS DE CONDUCTOR DEL VH1 EL CONDUCTOR NO TIENE LICENCIA DE CONDUCCION SE LE ANEXA COMPARENDO 39588166 INFRACCION D01 SE ANEXA COMPARENDO POR C35 AL VH2 N 39587806 CORRIJO CLASE VEHICULO N2 CAMIONETA;157;OTRA HIPÓTESIS (CONDUCTOR)
1089;3089;12/30/2023 7:40 PM;HERIDOS;CHOQUE;VEHICULO;-74,10528673;4,715334907;10;;2;CORRIJO CASILLA N 81  HOSPITAL MEDICENTRO FONTIBON LESION TRAUMA CRANEO ENCEFALICO LEVE;104;ADELANTAR INVADIENDO CARRIL DE SENTIDO CONTRARIO
1090;3090;12/30/2023 7:10 PM;HERIDOS;VOLVAMIENTO;;-74,11968616;4,526882029;5;;2;HIPOTESIS 306 PARA LA VIA HUECO TENIENDO EN CUENTA LA CIRCULAR 001 DEL 25 05 2017 SE SOLICITA QUERELLA A MONICA MESA Y A CARLOS FINO LOS CUALES MANIFIESTAN NO QUERER QUERELLAR POR TAL MOTIVO SE LES INFORMA QUE APARTIR DEL MOMENTO TIENEN 6 MESES PARA QUERELLAR;306;HUECOS
1091;3091;12/30/2023 6:43 PM;HERIDOS;ATROPELLO;;-74,12996305;4,602919394;16;;3;SE LE NOTIFICA ORDEN DE COMPARENDO 39588079 POR LA INFRACCION D01 Y ORDEN DE COMPARENDO POR INFRANCCION C35 N 39588055;139;IMPERICIA EN EL MANEJO
1092;3092;12/30/2023 6:40 PM;HERIDOS;ATROPELLO;;-74,07384721;4,606881597;3;;1;CONDUCTOR DEL VEHICULO 1 EN FUGA DATOS DEL VEHICULO 1 VERIFICADOS POR EL SISTEMA DEL RUNT DE LA COMPARENDERA DONDE INDICA QUE NO CUENTA CON SOAT Y TAMPOCO CON REVISION TECNOMECANICA ADEMAS INDICA QUE EL PROPIETARIO ES INDETERMINADO NO HAY CONDUCTOR PARA REALIZAR ORDEN DE COMPARENDO ;157;OTRA HIPÓTESIS (CONDUCTOR)
1093;3093;12/30/2023 6:30 PM;HERIDOS;ATROPELLO;;-74,13033722;4,593797155;16;;1;SE ACLARA FECHA DE OCURRENCIA EL 30 12 2023 Y FECHA DE LEVANTAMIENTO 01 01 2024 SE ACLARA QUE EL ACCIDENTE OCURRE EL 30 12 2023 Y DIAS DESPUES LA PERSONA LESIONADA REQUIERE EL PROCEDIMIENTO DESDE EL CENTRO MEDICO MANIFESTANDO SER ATROPELLADA POR UN VEHICULO DE PLACAS JEK195 EL CUAL LA DEJA EN EL CEN;157;OTRA HIPÓTESIS (CONDUCTOR)
1094;3094;12/30/2023 5:33 PM;HERIDOS;CHOQUE;OBJETO;-74,06037984;4,658439006;2;;2;NO SE INICIA PROCESO POR FISCALIA YA QUE NO DESEAN INICIAR PROCESO YA QUE SON MADRE E HIJO OBJETIVO FIJO MOTOCICLETA JWR65G PROPIETARIO LOBO TOBIO MIGUEL ANGEL DAÑOS MANUBRIO IZQUIERDO ESPEJO IZQUIERDO COSTADO LATERAL IZQUIERDO DEMAS DAÑOS INTERNOS POR ESTABLECER OBJETIVO FIJO OBRA DEL METRO INGENIE;157;OTRA HIPÓTESIS (CONDUCTOR)
1095;3095;12/30/2023 4:55 PM;HERIDOS;CHOQUE;VEHICULO;-74,12603227;4,727191478;10;;1;DEL VEHICULO 2 ES ABOLLADURA PARTE ANTERIOR LATERAL DERECHO SE ACLARA QUE EL CONDUCTOR DEL VEHICULO 2 HACE CASO OMISO A LA LUZ ROJA DEL SEMAFORO AUN CUANDO LOS AGENTES ESTABAN REALIZANDO LABORES DE REGULACION EN LA INTERSECCION ORIENTE OCCIDENTE SE NOTIFICA COMPARENDO D04 Y C06;142;SEMAFORO EN ROJO
1096;3096;12/30/2023 4:04 PM;HERIDOS;VOLVAMIENTO;;-74,07907618;4,638262955;13;;1;NO SE DIAGRAMA EL VEHICULO TIPO MOTOCICLETA PUESTO QUE FUE MOVIDO DE SU POSICION FINAL POR PARTE DE LOS DEMAS USUARIOS DE LA VIA ES DE ANOTAR QUE SE CODIFICA LA HIPOTESIS SEGUN RESULTADO DE CENTRO MEDICO;115;EMBRIAGUEZ O SUSTANCIAS ALUCINOGENAS
1097;3097;12/30/2023 3:15 AM;HERIDOS;CHOQUE;VEHICULO;-74,20610213;4,611867781;7;;2;SE ANEXA ORDEN DE COMPARENDO 039587013 POR LA INFRACCION D03  039509 09824 POR LA INFRACCION C33;127;TRANSITAR EN CONTRAVIA
1098;3098;30/12/2023;HERIDOS;CHOQUE;VEHICULO;-74,1001114;4,590987203;15;;1;SE CORRIJE FECHA DE OCURRENCIA Y LEVANTAMIENTO 30 12 2023 SE ACLARA QUE CUANDO LLEGAN AL LUGAR NO SE ENCONTRABA EL OTRO VEHICULO INVOLUCRADO NO HAY DATOS CONDUCTORA DEL VH1 MANIFIESTA VOLUNTARIAMENTE NO QUIERE QUERELLAR EN EL MOMENTO CICULAR 001 DE 25 05 2017;157;OTRA HIPÓTESIS (CONDUCTOR)
1099;3099;12/29/2023 11:32 PM;HERIDOS;CHOQUE;VEHICULO;-74,11872057;4,71463321;10;;1;CONDUCTOR DE LA MOTOCICLETA INVADE EL CARRIL CONTRARIO AL MOMENTO DEL SINIESTRO VIAL ;127;TRANSITAR EN CONTRAVIA
1100;3100;12/29/2023 9:50 PM;HERIDOS;CHOQUE;VEHICULO;-74,17276842;4,615994311;8;;2;SE REALIZA ORDEN DE COMPARENDO POR LA INFRACCION D01 PARA EL VEHICULO 1;157;OTRA HIPÓTESIS (CONDUCTOR)
1101;3101;12/29/2023 9:40 PM;HERIDOS;CHOQUE;VEHICULO;-74,11402134;4,508103396;5;;1;SE PRESENTA ACCIDENTE DE TRANSITO DONDE RESULTA LESIONADO EL CONDUCTOR DEL VH1 EL CUAL DESISTE Y MANIFIESTA NO REQUERIR QUE EL AGENTE DE TRANSITO INICIE Y RECONOZCA EL ACCIDENTE DEL QUE POR VERSION DEL MISMO CONDUCTOR AL PARECER SE INVOLUCRA UN TAXI EL CUAL SE DIO A LA FUGA EN EL MOMENTO DE ATENDER ;139;IMPERICIA EN EL MANEJO
1102;3102;12/29/2023 8:00 PM;HERIDOS;CHOQUE;VEHICULO;-74,14958829;4,658684073;9;;2;SE DEJA CONSTANCIA QUE DE ACUERDO A UNOS POSIBLES TESTIGOS QUE INICIALMENTE NO APORTAN DATOS MANIFESTARON QUE LA PLACA DEL VEHICULO QUE SE DIO A LA FUGA ES AAC651;157;OTRA HIPÓTESIS (CONDUCTOR)
1103;3103;12/29/2023 7:57 PM;HERIDOS;ATROPELLO;;-74,07616866;4,643553644;13;;1;A LA PEATON SE LE SOLICITA PRUEBA DE EMBRIAGUEZ EN LA CLINICA SE ACLARA Y CORRIJO SU CODIFICACION HIPOTESIS 411 AL PEATON ACOMPAÑADO DEL ARTICULO 59 CNT LA PEATON TIENE 71 AÑOS DE EDAD;157;OTRA HIPÓTESIS (CONDUCTOR)
1104;3104;12/29/2023 7:39 PM;MUERTOS;ATROPELLO;;-74,0627536;4,708113407;11;1;1;NO SE DIAGRAMA VH 1 FUE MOVIDO DEL PUNTO INICIAL DEL HECHO HIPOTESIS PARA VH1 157 ART 55 LEY 769 2002 HIPOTESIS PEATON 411 ART 55 LEY 769 2002;157;OTRA HIPÓTESIS (CONDUCTOR)
1105;3105;12/29/2023 6:30 PM;HERIDOS;ATROPELLO;;-74,11154432;4,571246382;18;;2;LA CIUDADANA LESIONADA GLADYS JUDITH BUSTOS ZAMUDIO DE CC 51966268 DESISTE DE INTERPONER QUERELLA RESOLUCION 01670 Y 03922 Y CIRCULAR 001 25 05 2017 EN EL LUGAR LLEGA UN ACUERDO CON EL MOTOCICLISTA ;157;OTRA HIPÓTESIS (CONDUCTOR)
1106;3106;12/29/2023 5:40 PM;HERIDOS;VOLVAMIENTO;;-74,2058119;4,613151028;7;;2;SE MODIFICA N 5 CLASE DE ACCIDENTE SIENDO VOLCAMIENTO SE DEJA LA OBSERVACION QUE AL LLEGAR AL LUGAR DE LOS HECHOS LA MOTOCICLETA INVOLUCRADA NO SE ENCUENTRA EN EL LUGAR DE LOS HECHOS SE NOTIFICA 3 ORDENES DE COMPARENDO N 11001000000039585782 39587018 39587500 39587502;139;IMPERICIA EN EL MANEJO
1107;3107;12/29/2023 5:25 PM;HERIDOS;CAIDA;;-74,07312302;4,606272029;3;;1;NOTA SE CORRIJE N DE INCIDENTE ENVIADO POR LA CENTRAL SIENDO 357849;119;FRENAR BRUSCAMENTE
1108;3108;12/29/2023 4:59 PM;HERIDOS;CHOQUE;VEHICULO;-74,07750038;4,600940958;3;;1;ACLARA EL INFORME LOS DATOS DEL CONDUTOR DEL VEHICULO 1 CASILLA 8 1 HOSPITAL Y DESCRIPCION DE LESIONES EL CONDUCTOR ES REMITIDO A MEDICINA LEGAL PARA PRUEBA DE EMBRIAGUEZ ;121;NO MANTENER DISTANCIA DE SEGURIDAD
1109;3109;12/29/2023 4:40 PM;HERIDOS;CHOQUE;VEHICULO;-74,11266112;4,513921869;5;;2;SE REALIZA COMPARENDO AL CONDUCTOR VH2 N 39587225 INFRACCCION D04 ;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
1110;3110;12/29/2023 4:32 PM;HERIDOS;CHOQUE;VEHICULO;-74,14015142;4,683416993;9;;1;NO SE RADICA ANTE FISCALIA GENERAL DE LA NACION YA QUE LA PERSONA LESIONADA MANIFIESTA VOLUNTARIAMENTE DESISTIR DEL PROCEDIMIENTO DE TRANSITO NO DESEA FIRMAR QUERELLA RESOLUCIONES 01670 Y 03922 DE 2016 Y CIRCULAR N 001 DEL 25052017 CORRIJO FECHA Y HORA DE OCURRENCIA SIENDO 29122023 1632;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
1111;3111;12/29/2023 3:45 PM;DANOS;CHOQUE;VEHICULO;-74,12001339;4,585573137;18;;;CORRIJE PROPIETARIO VH1 SEYER DRIGELIO ESPITIA RODRIGUEZ CC19062630 CONDUCTOR TIENE LICENCIA ANTIGUA SIN AUTUALIZAR CONDUCTOR DEL VH1 HACE CASO OMISO A LA SEÑAL DE PARE NO FIRMA QUERELLA DESISTE DE PROCEMIENTO DE TRANSITO Y FISCALIA SE REALIZA UN VOIDEO COMO PRUEBA FIRMA HERMANO YUBER CAMPO CC100729;139;IMPERICIA EN EL MANEJO
1112;3112;12/29/2023 3:35 PM;HERIDOS;VOLVAMIENTO;;-74,08864764;4,611276888;14;;1;VEHICULO 1 BICICLETA ELECTRICA CON NUMERO DE MOTOR W16032644 Y NUMERO DE CHASIS 1316216032644 EL CONDUCTOR MANIFIESTA LIBRE Y VOLUNTARIAMENTE NO QUIERE QUE SE CONOZCA EL CASO CON FISCALIA ;303;SUPERFICIE LISA
1113;3113;12/29/2023 3:30 PM;HERIDOS;CHOQUE;VEHICULO;-74,09564016;4,691649228;10;;2;ACLARA V1 1 LA CARRERA Y VIA 2 LA CALLE Y UTILIZACION VIA 2 UN SENTIDO;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
1114;3114;12/29/2023 2:20 PM;HERIDOS;CHOQUE;VEHICULO;-74,1099645;4,687608641;10;;2;CONDUCTOR DEL VH2 NO HA OBTENIDO LICENCIA DE CONDUCCION SE REALIZA COMPARENDO POR INFRACCION D01 N 11001000000039521710;139;IMPERICIA EN EL MANEJO
1115;3115;12/29/2023 2:09 PM;HERIDOS;CHOQUE;VEHICULO;-74,13068322;4,617479444;8;;2;SE CORRIGE CASILLA 10 ACOMPAÑANTE NO ES PASAJERO Y CONDUCTOR  ACOMPAÑANTE  Y CONDUCTOR MANIFIESTA DE MANERA VOLUNTARIA NO INTERPONER QUERELLA;157;OTRA HIPÓTESIS (CONDUCTOR)
1116;3116;12/29/2023 12:25 PM;HERIDOS;ATROPELLO;;-74,19058097;4,603093176;7;;1;SE CORRIGE CASILLA 9 NOMBRE DEL PEATON AENGIE GABRIELA BONILLA ALVAREZ SE CORRIGE N DE POLIZA DEL SEGURO CONTRACTUAL N 2000323114 NO SE DIAGRAMA EL VEHICULO N 1 YA QUE FUE MOVIDO DEL PUNTO DE IMPACTO O POSICION FINAL;139;IMPERICIA EN EL MANEJO
1117;3117;12/29/2023 11:46 AM;DANOS;CHOQUE;OBJETO;-74,09321544;4,56026016;4;;;PROPIETARIA DE LA VIVIENDA AFECTADA DE NOMENCLATURA 2 A 28 SUR LA SEÑORA ANA CECILIA TORRES HUERTAS CC52014216 TEL3134448204 REASULTA AFECTADO PORTON Y FRENTE DE LA VIVIENDA DENTRO DE LA VIVIENDA SE ENCUENTRA UN VEHICULO DE PLACAS DZZ271 RESPONSABLE JHON GRANADOS CC1023931968 TEL3186876123 AFECTADO;157;OTRA HIPÓTESIS (CONDUCTOR)
1118;3118;12/29/2023 9:30 AM;HERIDOS;CAIDA;;-74,06580327;4,760433166;11;;1;CORRIJE FECHA VENCIMIENTO DE SEGURO EXTRACONTRACTUAL 29 06 2024 NO SE LOGRA AVERIGUAR FECHA DE NACIMIENTO DEL PASAJERO ;145;ARRANCAR SIN PRECAUCION
1119;3119;12/29/2023 8:20 AM;HERIDOS;CHOQUE;VEHICULO;-74,08625478;4,583049444;4;;2;CORRIJO CASILLA 82 VEHICULO 1 MATRICULADO EN BOGOTA CORRIJO CASILLA 82 VEHICULO 2 NQD56G;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
1120;3120;12/29/2023 7:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,18788803;4,623032289;7;;3;SE NOTIFICA ORDEN DE COMPARENDO AL CONDUCTOR DEL VEHICULO 2 POR PRESTAR UN SERVICIO INFORMAL NUMERO DE COMPARENDO 39586909;157;OTRA HIPÓTESIS (CONDUCTOR)
1121;3121;12/29/2023 1:45 AM;MUERTOS;CHOQUE;OBJETO;-74,11623416;4,591770569;15;1;;DATOS OBTENIDOS DEL SISTEMA RUNT DE LA  COMPARENDERA DE IGUAL MANERA SE DEJA CONSTANCIA QUE EL ACCIDENTE ES CONOCIDO COMO CHOQUE CON OBJETO FIJO AL MOMENTO NO ES POSIBLE CONTACTAR UN FAMILIAR PARA INFORMAR LOS HECHOS LA MOTOCICLETA ES INMOVILIZADA COMPARENDO 39585558 EL CONDUCTOR SE TRASLADA AL HOSP;157;OTRA HIPÓTESIS (CONDUCTOR)
1122;3122;12/29/2023 1:15 AM;HERIDOS;CHOQUE;;-74,13131353;4,60525408;16;;1;SE DEJA CONSTANCIA QUE EN EL EVENTO SE CONOCE COMO CHOQUE PERO NO SE LOGRA ESTABLECER CONTRA QUE O CONTRA QUIEN  YA QUE EL VEHICULO SE UBICA SOLO EN LA VIA Y EL CONDUCTOR HABIA SIDO TRASLADADO EN DELICADO ESTADO DE SALUD POSTERIORMENTE FUE INGRESADO INCONSIENTE A LA UCI ;157;OTRA HIPÓTESIS (CONDUCTOR)
1123;3123;29/12/2023;DANOS;CHOQUE;VEHICULO;-74,12017835;4,724069307;10;;;115 EMBRIAGUEZ O SUSTANCIAS ALUCINOGENAS CUANDO SE HA LLEVADO A CABO LA PRUEBA Y SE CONSTATA EL ESTADO DE BEODEZ GRADO 1;115;EMBRIAGUEZ O SUSTANCIAS ALUCINOGENAS
1124;3124;12/28/2023 11:45 PM;HERIDOS;CHOQUE;VEHICULO;-74,03188137;4,738164405;1;;1;SE DEJA CONSTANCIA QUE LA CONDUCTORA DE LA BICICLETA LESIONADA MANIFESTANDO NO INTERPONER QUERELLA EN EL MOMENTO;146;REALIZAR GIRO EN “U”
1125;3125;12/28/2023 10:30 PM;HERIDOS;CHOQUE;VEHICULO;-74,06749462;4,673658239;12;;3;ES DE ANOTAR QUE NO SE DIAGRAMA LA MOTOCICLETA N 1 YA QUE FUE MOVIDA DEL LUGAR DE LOS HECHOS EN SU POSICION FINAL CUANDO SOCORRIERON AL LESIONADO CONDUCTOR 2 MOTOCICLISTAS;157;OTRA HIPÓTESIS (CONDUCTOR)
1126;3126;12/28/2023 7:05 PM;HERIDOS;ATROPELLO;;-74,15458036;4,59993035;7;;1; EL VEHICULO FUE MOVIDO DEL LUGAR DE LOS HECHOS LA SEÑORA NORALBA NAVARRO LOZANO CON CC 23911808 NO INTERPONE QUERELLA CONTRA EL SEÑOR JOSE BENIGNO IZQUIERDO CON CC 15932732 QUE LE OCACIONA LAS LESIONES;157;OTRA HIPÓTESIS (CONDUCTOR)
1127;3127;12/28/2023 6:19 PM;HERIDOS;CHOQUE;VEHICULO;-74,07613514;4,60868891;3;;1;LA LESIONADA ES VALORADA Y TRASLADADA A LA CLINICA SANTA JULIANA POR LA AMBULANCIA 6117 SE LE INFORMA EL PROCEDIMIENTO Y NIEGA FIRMAR LA QUERELLA AFIRMANDO LLEGAR A UN ACUERDO MONETARIO CON LA CONDUCTORA DEL VEHICULO N 1 POR TAL RAZON NO SE RADICA EL CASO POR FISCALIA;142;SEMAFORO EN ROJO
1128;3128;12/28/2023 5:40 PM;HERIDOS;CAIDA;;-74,08794893;4,584640042;4;;1;LA SEÑORA MARIA ELENA BELTRAN REYES DE CC 51814592 NO DESEA QUERELLAR POR TAL MOTIVO NO SE CONOCE EL CASO POR FISCALIA;506;OTRA HIPÓTESIS (PASAJERO O ACOMPAÑANTE)
1129;3129;12/28/2023 5:25 PM;HERIDOS;CHOQUE;VEHICULO;-74,1854955;4,627073246;7;;2;CORRECION CASILLA 9 VICTIMA NO APLICA SE REALIZA ORDEN DE COMPARENDO 39529397 INFRACCION D02 Y ORDEN DE COMPARENDO 39529458 INFRACION C35 AL VEHICULO N 1;121;NO MANTENER DISTANCIA DE SEGURIDAD
1130;3130;12/28/2023 4:07 PM;HERIDOS;CAIDA;;-74,14489088;4,531495728;19;;1;SE PRESENTA COMO LA MAMA DEL MENOR LA SEÑORA VIVIAN JULIETTE VELASCO RUIZ CC 52750167;506;OTRA HIPÓTESIS (PASAJERO O ACOMPAÑANTE)
1131;3131;12/28/2023 3:20 PM;HERIDOS;CHOQUE;VEHICULO;-74,05160097;4,722331792;1;;2;CORRIJE CASILLA N 8 VH2 CLASE DE SERVICIO PARTICULAR Y CASILLA 8 2 FECHA DE VENCIMIENTO DE SOAT VEHICULO 1  16 11 2024;157;OTRA HIPÓTESIS (CONDUCTOR)
1132;3132;12/28/2023 11:20 AM;HERIDOS;CHOQUE;VEHICULO;-74,11832092;4,688592392;10;;3;CORRIJO CASILLA 82 QUE A NUMERO DE POLIZA DEL VH1 ES 85009827 CON FECHA DE VENCIMIENTO 28012024 SE CORRIJE COSILLA 82 QUE LA CEDULA DEL PROPIETARIO DEL VH2 CC 59646548;103;ADELANTAR CERRANDO
1133;3133;12/28/2023 9:50 AM;HERIDOS;CHOQUE;VEHICULO;-74,07147882;4,711286439;11;;2;ORDEN DE COMPARENDO NUMERO 39530525 AL VH2 POR LA B02 LICENCIA DE CONDUCCION VENCIDA ;103;ADELANTAR CERRANDO
1134;3134;12/28/2023 9:45 AM;HERIDOS;CHOQUE;VEHICULO;-74,14274512;4,564342915;19;;2;ES DE NOTAR QUE LA CARRERA 20B TIENE SEÑAL DE PARE PERO FUE HURTADA O ROBADA Y NO SE ENCUENTRA POR TAL MOTIVO NO SE ENCUENTRA LA MOTOCICLETA FUE MOVIDA DE SU POSICION FINAL;132;NO RESPETAR PRELACION
1135;3135;12/28/2023 9:37 AM;HERIDOS;CHOQUE;VEHICULO;-74,11318449;4,621922793;16;;2;SE LE NOTIFICA ORDEN DE COMPARENDO N 39532231 POR LA INFRACCION D01 AL CONDUCTOR DEL VH2;139;IMPERICIA EN EL MANEJO
1136;3136;12/28/2023 9:07 AM;HERIDOS;ATROPELLO;;-74,16827572;4,635987867;8;;2;SE CORRIGE CASILLA 3 DIRECCION CALE 40B SUR N 87I 27 NO SE DIAGRAMA LA MOTOCICLETA YA QUE FUE MOVIDA DEL PUNTO DE IMPACTO O POSICION FINAL;157;OTRA HIPÓTESIS (CONDUCTOR)
1137;3137;12/28/2023 8:00 AM;HERIDOS;CHOQUE;VEHICULO;-74,08672718;4,620102146;14;;3;CORRIJO PLACA VEHICULO 1 SIENDO CORRECTO ENF50D;121;NO MANTENER DISTANCIA DE SEGURIDAD
1138;3138;12/28/2023 6:40 AM;HERIDOS;CHOQUE;VEHICULO;-74,19588606;4,620853301;7;;1;CONDUCTOR DEL VEHICULO 1 MANIFIESTA LIBREMENTE QUE UN MICROBUS DE COLOR BLANCO DE PLACAS FEC940 LO COLISIONO Y SE DIO A LA FUGA LESIONADA 1 MANIFIESTA DE FORMA LIBRE Y VOLUNTARIA NO FIRMAR QUERELLA NI REQUERIR NINGUN PROCEDIMIENTO DE TRANSITO RESOLUCION N 01670 Y 03922 DEL 2016 CIRCULAR 001 DEL 25 0;157;OTRA HIPÓTESIS (CONDUCTOR)
1139;3139;12/28/2023 4:00 AM;HERIDOS;VOLVAMIENTO;;-74,12431163;4,673230487;10;;1;SE CONOCE EL EVENTO COMO AUTOLESIONES YA QUE EL CONDUCTOR PRESENTO HERIDAS DE GRAVEDAD ;304;SUPERFICIE HUMEDA
1140;3140;12/28/2023 1:20 AM;HERIDOS;CHOQUE;VEHICULO;-74,14742959;4,590420399;6;;4;CORRIJO CASILLA 8 2 SI TIENE CONTRACTUAL Y EXTRACONTRACTUAL;122;GIRAR BRUSCAMENTE
1141;3141;28/12/2023;HERIDOS;CHOQUE;VEHICULO;-74,12735862;4,706095169;10;;1;SE DEJA CONSTANCIA QUE EL VEHICULO N2 SE EVADE DEL LUGAR DE LOS HECHOS;121;NO MANTENER DISTANCIA DE SEGURIDAD
1142;3142;12/27/2023 10:31 PM;HERIDOS;CHOQUE;VEHICULO;-74,10583121;4,695937062;10;;1;CONDUCTORA DE LA BICICLETA MANIFIESTA NO LLEVAR CASCO DE PROTECCION NI CHALECO REFLECTIVO AL MOMENTO DEL SINIESTRO VIAL;157;OTRA HIPÓTESIS (CONDUCTOR)
1143;3143;12/27/2023 10:30 PM;HERIDOS;CHOQUE;VEHICULO;-74,15050475;4,595544345;19;;2;SE CORRIGE CASILLA 8 1 SIENDO CORRECTO DANIEL GUSTAVO MURCIA BAUTISTA CON CC 1000726926 SE ESPECIFICA QUE EL DISEÑO DE LA VIA ES TRAMO DE VIA EN LA CUAL LA CICLOVIA ESTA SOBRE EL ANDEN Y EL SINIESTRO OCURRE EN EL INGRESO A UNA ESTACION DE SERVICIO;157;OTRA HIPÓTESIS (CONDUCTOR)
1144;3144;12/27/2023 10:15 PM;HERIDOS;CAIDA;;-74,16768735;4,639198976;8;;1;CORRIJE CASILLA 4 FECHA Y HORA LEVANTAMIENTO 27 12 2023;506;OTRA HIPÓTESIS (PASAJERO O ACOMPAÑANTE)
1145;3145;12/27/2023 8:30 PM;HERIDOS;CHOQUE;VEHICULO;-74,17079163;4,691998083;9;;4;DEJA CONSTANCIA QUE EL MOMENTO DE LLEGAR AL SITIO NO SE ENCUENTRA BICICLETAS DE LOS CONDUCTORES Y LA MOTOCICLETA SE ENCUENTRA AL LADO DEL SEPARADOR DE LA VIA;157;OTRA HIPÓTESIS (CONDUCTOR)
1146;3146;12/27/2023 8:10 PM;DANOS;CHOQUE;VEHICULO;-74,1111617;4,569682534;18;;;SE REALIZA COMPARENDO AL CONDUCTOR DEL VEHICULO  N1 POR LA B01 39532492 Y POR LA F 39578955 SE CORRIJE DIRECCION CONDUCTOR VH1 CRA 5 1B N 49A 17 ;121;NO MANTENER DISTANCIA DE SEGURIDAD
1147;3147;12/27/2023 8:00 PM;HERIDOS;ATROPELLO;;-74,08979563;4,517098377;5;;1;SE REALIZA ORDEN DE COMPARENDO AL CONDUCTOR N 1INFRACCION D02 COMPARENDO N 039532434;157;OTRA HIPÓTESIS (CONDUCTOR)
